years,text_general_code,lat,lon
1,Other Assaults,40.073612,-74.983298
1,Thefts,39.94007,-75.166412
1,All Other Offenses,40.04654,-75.172955
1,All Other Offenses,40.040552,-75.124211
1,Fraud,40.046108,-75.061601
1,Fraud,40.049107,-75.062388
1,Fraud,39.92701,-75.17186
1,Fraud,39.927245,-75.18366
1,Fraud,39.931468,-75.166543
1,Thefts,39.923506,-75.143638
1,Thefts,40.053719,-75.178333
1,Thefts,39.969406,-75.185208
1,Thefts,39.95372,-75.209221
1,Thefts,40.041647,-75.073121
1,Fraud,40.034022,-75.055799
1,Thefts,40.062195,-75.170067
1,Thefts,40.062064,-75.063304
1,Thefts,40.026345,-75.064564
1,Thefts,39.948358,-75.238929
1,Other Assaults,39.99904,-75.119015
1,Thefts,40.008413,-75.104661
1,Fraud,39.992025,-75.139964
1,Thefts,39.989868,-75.103866
1,Other Assaults,39.927924,-75.171283
1,Motor Vehicle Theft,39.95921,-75.165499
1,Thefts,39.920288,-75.178018
1,Thefts,39.929027,-75.151906
1,Thefts,40.045561,-75.088356
1,All Other Offenses,40.043897,-75.073202
1,Thefts,40.045524,-75.088237
1,Thefts,40.064478,-74.999009
1,All Other Offenses,40.039123,-75.110053
1,Thefts,39.921923,-75.186977
1,Other Assaults,40.04609,-75.105748
1,Other Assaults,40.07765,-75.086376
1,Thefts,39.918538,-75.185227
1,Thefts,40.034106,-75.176498
1,Thefts,40.03539,-75.049671
1,Rape,39.967866,-75.154733
1,Thefts,40.052554,-75.090609
1,Theft from Vehicle,40.026935,-75.227231
1,Theft from Vehicle,39.958053,-75.148874
1,Thefts,39.947972,-75.166352
1,Thefts,39.949996,-75.169187
1,Thefts,39.961958,-75.141097
1,All Other Offenses,40.058485,-75.158143
1,Thefts,39.93024,-75.151022
1,Thefts,39.946366,-75.237615
1,Fraud,40.124033,-75.015253
1,Robbery Firearm,40.071534,-75.032344
1,Thefts,39.922154,-75.23033
1,Other Assaults,39.950817,-75.156921
1,Thefts,40.01983,-75.079612
1,Thefts,40.026069,-75.058641
1,Thefts,39.99685,-75.15403
1,Thefts,40.010553,-75.112543
1,Fraud,40.113174,-75.030229
1,Thefts,40.043021,-75.044784
1,Thefts,40.056622,-75.15694
1,Fraud,40.10432,-75.031806
1,Thefts,39.974865,-75.235031
1,Thefts,39.934487,-75.14556
1,Other Assaults,39.998493,-75.07125
1,Fraud,40.047841,-75.059935
1,All Other Offenses,40.056884,-75.174001
1,Thefts,40.005172,-75.217957
1,Thefts,39.979168,-75.271407
1,Fraud,40.079135,-75.036716
1,Other Assaults,40.073928,-75.077664
1,Rape,39.986005,-75.161739
1,Thefts,39.954074,-75.201869
1,Thefts,39.941922,-75.145332
1,Fraud,40.029914,-75.051578
1,Thefts,39.951412,-75.190506
1,Rape,40.00206,-75.132653
1,All Other Offenses,39.96201,-75.2407
1,Fraud,39.990371,-75.102686
1,Rape,39.969389,-75.135997
1,Other Assaults,39.949826,-75.158664
1,Rape,39.995824,-75.137408
1,Thefts,40.032143,-75.232047
1,Thefts,39.923506,-75.143638
1,Thefts,39.902591,-75.239919
1,Thefts,39.989538,-75.157145
1,Fraud,39.976075,-75.124503
1,Fraud,39.883852,-75.230706
1,Thefts,39.989807,-75.103806
1,Thefts,40.038066,-75.222793
1,Theft from Vehicle,40.024219,-75.121744
1,Thefts,39.99538,-75.171007
1,Thefts,39.990264,-75.186652
1,Thefts,39.938997,-75.159407
1,Thefts,39.954529,-75.144782
1,Thefts,39.939026,-75.161049
1,Thefts,40.080498,-75.036833
1,All Other Offenses,39.961241,-75.234798
1,Thefts,40.118091,-75.021822
1,Thefts,40.013086,-75.119318
1,Thefts,39.950993,-75.152043
1,Thefts,39.940684,-75.145718
1,Thefts,39.962396,-75.143137
1,Thefts,39.947804,-75.161562
1,Robbery No Firearm,40.008282,-75.194635
1,Other Assaults,39.925644,-75.227332
1,Thefts,40.005562,-75.105387
1,Thefts,40.041784,-75.144484
1,Thefts,40.002572,-75.152754
1,Thefts,40.031337,-75.167507
1,Thefts,39.883535,-75.232338
1,Other Assaults,39.946335,-75.159483
1,Theft from Vehicle,39.953009,-75.222216
1,Robbery Firearm,40.035243,-75.088174
1,Robbery No Firearm,39.967654,-75.168468
1,Thefts,39.952825,-75.158896
1,Disorderly Conduct,39.942367,-75.155508
1,Robbery No Firearm,39.998246,-75.103737
1,Thefts,39.877344,-75.24787
1,Fraud,40.08067,-74.984654
1,Fraud,39.957985,-75.243598
1,Fraud,39.95183,-75.171974
1,Fraud,40.07363,-75.077022
1,Burglary Residential,40.085077,-75.073322
1,Homicide - Criminal,40.025738,-75.109796
1,Thefts,40.042086,-75.168379
1,Robbery Firearm,39.944675,-75.223733
1,Robbery Firearm,39.921641,-75.224933
1,Robbery Firearm,39.922409,-75.238758
1,Robbery Firearm,39.940576,-75.229085
1,Motor Vehicle Theft,40.003926,-75.105619
1,Thefts,40.09604,-74.976868
1,Other Assaults,40.042511,-75.070509
1,Burglary Residential,39.955241,-75.213652
1,Thefts,40.100737,-75.007959
1,Robbery Firearm,39.914198,-75.238714
1,Robbery Firearm,40.045477,-75.164834
1,Robbery Firearm,40.058017,-75.195302
1,Thefts,40.017852,-75.078535
1,Thefts,39.937851,-75.149984
1,Fraud,39.948385,-75.14439
1,Fraud,40.059655,-75.235119
1,Fraud,40.073979,-74.973731
1,Other Assaults,40.035896,-75.086052
1,Thefts,40.011019,-75.112316
1,Thefts,39.984934,-75.158559
1,Rape,40.001833,-75.106181
1,Fraud,40.108468,-75.051768
1,Thefts,40.039484,-75.177726
1,Thefts,39.979945,-75.127781
1,Fraud,39.998922,-75.127242
1,Other Assaults,39.922662,-75.15508
1,Thefts,40.042075,-75.105683
1,Fraud,40.052561,-75.180695
1,Fraud,40.022889,-75.151526
1,Rape,39.952923,-75.151599
1,Thefts,39.95796,-75.189048
1,Other Assaults,40.040942,-75.099416
1,Other Assaults,40.027567,-75.216663
1,Thefts,39.883852,-75.230706
1,Other Assaults,40.09287,-75.030309
1,Thefts,39.95169,-75.170851
1,Thefts,39.95255,-75.165287
1,Rape,39.949928,-75.143798
1,Thefts,39.92578,-75.182756
1,Thefts,40.040161,-75.176902
1,Thefts,40.061847,-75.05621
1,Thefts,39.938065,-75.182019
